current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT152,IDLE_L,MT        ,6,0,NT68108UFG/BABCU,nan,None,B,9755334
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,HIM,QAMT153,RUN,MT        ,6,6,F6330A00DLCG004,nan,None,B,9755335
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT154,IDLE_L,EQC       ,6,0,MT5835ABAQ/ACZBMB-H,5895,None,B,9755336
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT155,RUN,MT        ,6,6,MT9255BCAN/AAZBXDA2020-L,5862,None,B,9755337
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT156,RUNR,MT        ,6,0,MT9633GAAT/ABZACC-H,5873,林佳生,B,9755338
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT157,RUN,RT1       ,6,6,MT9676EAAT/DCZACC3434-H,5873,None,B,9755339
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT158,RUN,MT2       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755340
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT159,RUN,RT1       ,6,6,NT72690TBG-8C2K/WBBAACUFQ,nan,None,B,9755341
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT16,RUN,MT        ,6,6,MT9011OSAT/CBZCCA34-H,5867,None,B,9755342
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT160,RUN,RT2       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755343
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT161,RUN,MT        ,6,6,NT68873AUMFG/BABAACU,nan,None,B,9755344
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT162,IDLE_L,EQC       ,6,0,NC98568MBG-D/AAADACU,nan,None,B,9755345
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT163,RUN,EQC2      ,6,6,MT9270DABJ/ABZBCA343434-MA2-H,5889,None,B,9755346
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT164,RUN,MT        ,6,6,MT9216AAAT/FBZACC2020-H,5867,None,B,9755347
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT165,ENG_L,MT        ,6,0,NC96687TBG/BABAABACUE,nan,None,B,9755348
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT166,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACUFQ,nan,None,B,9755349
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT167,RUN,MT        ,6,6,NC98529BG/AAACU,nan,None,B,9755350
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT168,RUN,MT3       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755351
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT169,REPAIR,MT2       ,6,0,SV72201PG/BAB-V,nan,鍾智弦,B,9755352
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT17,RUN,MT        ,6,6,MT9286AAAT/BBZACC3434-H,5867,None,B,9755353
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT170,RUN,MT        ,6,6,NT72563MBG-C4/VBAAACU-V,nan,None,B,9755354
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT171,RUN,EQC2      ,6,6,NT72335PG-VB/AAA,nan,None,B,9755355
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT172,RUN,MT        ,6,6,MT9653BADT/ABZAHHB-P-H,5879,None,B,9755356
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,JMT,QAMT173,IDLE_L,RT1       ,6,0,JR0586A1-QHBD,nan,None,B,9755357
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT174,RUNP,MT2       ,6,5,NT72327PG/AAA,nan,None,B,9755358
