current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,XSG,QAMT141,RUN,RT1       ,6,6,SSC8627DE,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT142,RUNR,MT2       ,6,0,NT72335PG-VA/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT143,RUN,RT2       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT144,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT145,RUNP,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT146,RUN,MT3       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT147,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT148,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT149,RUN,MT2       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT15,RUN,MT2       ,6,6,MT9000AAAT/ADZBHHB343434-CSM34NB-H,5876,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT150,RUN,MT        ,6,6,MT9603BAAT/ACZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT151,RUN,MT        ,6,6,MT9603BAAT/ACZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT152,RUN,MT        ,6,6,NT98632BG/CACCU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,HIM,QAMT153,IDLE_L,RT1       ,6,0,F6330A00DLCG004,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT154,IDLE_L,MT        ,6,0,MT9900AAAQ/RCZBMB-H,5895,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT155,RUN,MT        ,6,6,MT9603BAAT/ACZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT156,RUNP,MT        ,6,5,MT9010PBAT/BBZBHHA202020-H,5870,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT157,IDLE_L,RT1       ,6,0,MT9603EAAT/CCZACC3434-H,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT158,RUN,MT2       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT159,RUN,MT        ,6,6,NT72690TBG-8C/WBBAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT16,RUN,MT        ,6,6,MT9011CEAT/BBZACC2020-H,5867,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT160,RUN,EQC2      ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT161,IDLE_L,MT        ,6,0,NT68874UMFG/CBAAACU,,,,
